bio_0_djvu_kireev_fs01.docx,"Киреев Ф.С. Герои и подвиги Уроженцы Осетии в Первой мировой войне, 2010"
bio_0_djvu_kisin_s01.docx,"Кисин С. Единая и неделимая, 2012"
bio_0_djvu_kobelev_ev01.docx,"Кобелев Е.В. Хо Ши Мин, 1983"
bio_0_djvu_kolesnikov_ms02.docx,"Кох Л. Лис пустыни. Генерал-фельдмаршал Эрвин Роммель, 1999"
bio_0_djvu_kolesnikovy_zorge.docx,"Колесник А.Н. Главный телохранитель Сталина. Судебное дело Н. С. Власика, 1990"
bio_0_djvu_kondratyev_nd02.docx,"Колесников М.С. Миклухо-Маклай Колесников Михаил Сергеевич, 1961"
bio_0_djvu_kondratyev_nd04.docx,"Кондратьев Н.Д. Начдив Железной Азин, 1960"
bio_0_djvu_konyaev_nm02.docx,"Коняев Н.М. Генерал Власов. Анатомия предательства, 2008"
bio_0_djvu_korobkov_nm01.docx,"Коробков Н.М. Вице-адмирал Корнилов, 1944"
bio_0_djvu_korshunov_ul01.docx,Коршунов Ю.Л. Иван Федорович Александровский (1817-1894). 1997
bio_0_djvu_koshevaya_en01.docx,"Кошевая Е.Н. Повесть о сыне, 1953"
bio_0_djvu_kozlyakov_vn01.docx,"Козляков В.H. Василий Шуйский, 2007"
bio_0_djvu_kozlyakov_vn02.docx,"Козляков В.Н. Михаил Федорович, 2010"
bio_0_djvu_kozlyakov_vn03.docx,"Козляков В.H. Борис Годунов Трагедия о добром царе, 2011"
bio_0_djvu_krasnov_vg02-1.docx,"Краснов В.Г. Колчак. И жизнь, и смерть за Россию. Том 1, 2000"
bio_0_djvu_krasnov_vg02-2.docx,"Краснов В.Г. Колчак. И жизнь, и смерть за Россию. Том 2, 2000"
bio_0_djvu_kravchenko_si01.docx,"Кравченко С.И. Князья и цари, 2000"
bio_0_djvu_krelenko_dm01.docx,"Креленко Д.М. Франсиско Франко путь к власти, 2002"
bio_0_djvu_kurukin_iv02.docx,"Курукин И.В. Анна Леопольдовна, 2012"
bio_0_djvu_lavretsky_ir01.docx,"Лаврецкий И.Р. Эрнесто Че Гевара, 1973"
bio_0_djvu_lavrinenkov_vd02.docx,Лавриненков В. Д. Сокол-1 1976
bio_0_djvu_lebedev_ananyev01.docx,"Лебедев В.А. Ананьев К.В. М. В. Фрунзе. 1885-1925, 1957"
bio_0_djvu_lenskaya_e01.docx,"Ленская Е. Даёшь Кронштадт, 1930"
bio_0_djvu_liddel-hart3.docx,"Лиддел Харт Б.Г. Сципион Африканский. Победитель Ганнибала, 2003"
bio_0_djvu_lurie_aj01.docx,"Лурье А.Я. Александр Невский, 1939"
bio_0_djvu_lurie_marinin.docx,"Лурье А. Маринин А. Адмирал Г. И. Бутаков, 1954"
bio_0_djvu_macksey_k03.docx,"Макси К. Гудериан, 2001"
bio_0_djvu_manwell_fraenkel01.docx,"Мэнвэлл Р. Франкель Г. Генрих Гиммлер, 2000"
